blog_url,title,internal_link_count,unique_pages_linking,sample_sources
https://brushonblock.com/blogs/news/what-is-spf,What is SPF? What Does The SPF Number on Sunscreen Mean,7,3,https://brushonblock.com/blogs/news/learn-about-the-drug-facts-on-your-sunscreen; https://brushonblock.com/blogs/news/sunscreen-testing-what-it-means-to-consumers; https://brushonblock.com/blogs/news/we-challenge-you-to-wear-spf-30-every-day
https://brushonblock.com/blogs/news/we-challenge-you-to-wear-spf-30-every-day,We challenge you to wear SPF 30 every day,7,3,https://brushonblock.com/blogs/news/spf-sunscreen-tattoos; https://brushonblock.com/blogs/news/what-does-the-uv-index-mean; https://brushonblock.com/blogs/news/what-is-spf
https://brushonblock.com/blogs/news/what-does-the-uv-index-mean,What Does the UV Index Mean? A Guide to the UV Index and How to Stay Safe From the Sun,7,3,https://brushonblock.com/blogs/news/introducing-sheer-genius-mineral-sunscreen-moisture-spf-50; https://brushonblock.com/blogs/news/spf-sunscreen-tattoos; https://brushonblock.com/blogs/news/we-challenge-you-to-wear-spf-30-every-day
https://brushonblock.com/blogs/news/sunscreen-testing-what-it-means-to-consumers,Sunscreen Testing - What It Means To Consumers,7,3,https://brushonblock.com/blogs/news/brush-on-block-has-a-mineral-powder-sunscreen-for-everyone; https://brushonblock.com/blogs/news/summer-sunscreen-checklist-things-to-remember; https://brushonblock.com/blogs/news/what-i-thought-vs-what-i-learned-sunscreen-101
https://brushonblock.com/blogs/news/tiny-and-mighty-plastic-free-refills-are-here,Tiny and Mighty Plastic-Free Refill Pods are Here!,7,3,https://brushonblock.com/blogs/news/accelerate-action-supporting-women-owned-businesses; https://brushonblock.com/blogs/news/happy-earth-day-our-power-our-planet; https://brushonblock.com/blogs/news/we-have-a-winner-bounce-butter-wins-indie-beauty-award
https://brushonblock.com/blogs/news/tagged/sports-active-lifestyles,Brush on Block® Blog,6,6,https://brushonblock.com/blogs/news; https://brushonblock.com/blogs/news/117704004-7-simple-skincare-tips-for-before-and-after-the-gym; https://brushonblock.com/blogs/news/117704324-5-autumn-skin-care-blunders-you-may-be-making
https://brushonblock.com/blogs/news/118501380-ira-rays,Beyond UV: What to Know About IRA Rays,6,2,https://brushonblock.com/blogs/news/117644612-true-or-false-mythbusting-skincare-home-remedies; https://brushonblock.com/blogs/news/85120964-convenient-things-to-keep-in-your-car
https://brushonblock.com/blogs/news/118499972-how-to-prepare-for-a-fun-summer-beach-day,How to Prepare for a Fun Summer Beach Day,6,2,https://brushonblock.com/blogs/news/118499908-summer-skin-care-awareness; https://brushonblock.com/blogs/news/85120964-convenient-things-to-keep-in-your-car
https://brushonblock.com/blogs/news/117644932-surviving-the-teen-years-a-parents-guide-to-teen-skincare,Surviving the Teen Years: A Parents&#39; Guide to Teen Skincare,6,2,https://brushonblock.com/blogs/news/117644612-true-or-false-mythbusting-skincare-home-remedies; https://brushonblock.com/blogs/news/118500484-beauty-trends-for-spring
https://brushonblock.com/blogs/news/118500484-beauty-trends-for-spring,Beauty Trends for Spring,6,2,https://brushonblock.com/blogs/news/117644932-surviving-the-teen-years-a-parents-guide-to-teen-skincare; https://brushonblock.com/blogs/news/118500228-convenience-is-key
https://brushonblock.com/blogs/news/117644612-true-or-false-mythbusting-skincare-home-remedies,True or False: Mythbusting Skincare Home Remedies,6,2,https://brushonblock.com/blogs/news/117644932-surviving-the-teen-years-a-parents-guide-to-teen-skincare; https://brushonblock.com/blogs/news/118501380-ira-rays
https://brushonblock.com/blogs/news/118500164-winter-skin-care,Winter Skin Care,6,2,https://brushonblock.com/blogs/news/117700420-5-questions-to-ask-your-dermatologist; https://brushonblock.com/blogs/news/117701124-6-cold-weather-makeup-tips
https://brushonblock.com/blogs/news/118500228-convenience-is-key,Convenience is Key!,6,2,https://brushonblock.com/blogs/news/117700420-5-questions-to-ask-your-dermatologist; https://brushonblock.com/blogs/news/118500484-beauty-trends-for-spring
https://brushonblock.com/blogs/news/117701444-think-pink-basic-breast-cancer-prevention-tips,Think Pink: Basic Breast Cancer Prevention Tips,6,2,https://brushonblock.com/blogs/news/117701124-6-cold-weather-makeup-tips; https://brushonblock.com/blogs/news/117701508-calling-all-moms-how-to-get-rid-of-stretch-marks
https://brushonblock.com/blogs/news/117701508-calling-all-moms-how-to-get-rid-of-stretch-marks,Calling All Moms: How to Get Rid of Stretch Marks,6,2,https://brushonblock.com/blogs/news/117701380-skin-care-makeup-brand-name-v-generic; https://brushonblock.com/blogs/news/117701444-think-pink-basic-breast-cancer-prevention-tips
https://brushonblock.com/blogs/news/117701124-6-cold-weather-makeup-tips,6 Cold Weather Makeup Tips,6,2,https://brushonblock.com/blogs/news/117701444-think-pink-basic-breast-cancer-prevention-tips; https://brushonblock.com/blogs/news/118500164-winter-skin-care
https://brushonblock.com/blogs/news/117701764-bringing-home-baby-everything-you-need-to-know-about-your-babys-delicate-skin,Bringing Home Baby: Everything You Need to Know About Your Baby&#39;s Delicate Skin,6,2,https://brushonblock.com/blogs/news/117701700-adult-acne-why-you-get-it-how-to-fight-it; https://brushonblock.com/blogs/news/117701828-the-power-of-sunshine-the-benefits-of-vitamin-d
https://brushonblock.com/blogs/news/117701828-the-power-of-sunshine-the-benefits-of-vitamin-d,The Power of Sunshine: The Benefits of Vitamin D,6,2,https://brushonblock.com/blogs/news/117701764-bringing-home-baby-everything-you-need-to-know-about-your-babys-delicate-skin; https://brushonblock.com/blogs/news/117701892-chlorine-and-salt-how-the-ocean-and-the-pool-affect-your-skin
https://brushonblock.com/blogs/news/117701892-chlorine-and-salt-how-the-ocean-and-the-pool-affect-your-skin,Chlorine and Salt: How the Ocean and the Pool Affect Your Skin,6,2,https://brushonblock.com/blogs/news/117701828-the-power-of-sunshine-the-benefits-of-vitamin-d; https://brushonblock.com/blogs/news/117702532-how-sugary-drinks-affect-your-skin
https://brushonblock.com/blogs/news/117703172-6-bizarre-celebrity-beauty-secrets,6 Bizarre Celebrity Beauty Secrets,6,2,https://brushonblock.com/blogs/news/117702916-age-and-beauty-how-your-skincare-routine-should-change-as-you-age; https://brushonblock.com/blogs/news/117703236-how-make-up-affects-your-skin-choosing-the-right-look-for-valentine-s-day
https://brushonblock.com/blogs/news/117703236-how-make-up-affects-your-skin-choosing-the-right-look-for-valentine-s-day,How Make-up Affects Your Skin: Choosing the Right Look for Valentine’s Day,6,2,https://brushonblock.com/blogs/news/117703172-6-bizarre-celebrity-beauty-secrets; https://brushonblock.com/blogs/news/117703556-central-heating-vs-your-skin-what-to-do-indoors-to-keep-your-skin-healthy
https://brushonblock.com/blogs/news/117703556-central-heating-vs-your-skin-what-to-do-indoors-to-keep-your-skin-healthy,Central Heating vs. Your Skin: What to Do Indoors to Keep Your Skin Healthy,6,2,https://brushonblock.com/blogs/news/117703236-how-make-up-affects-your-skin-choosing-the-right-look-for-valentine-s-day; https://brushonblock.com/blogs/news/117703684-fighting-pale-winter-skin-are-sunless-tanners-safe
https://brushonblock.com/blogs/news/117703684-fighting-pale-winter-skin-are-sunless-tanners-safe,Fighting Pale Winter Skin: Are Sunless Tanners Safe?,6,2,https://brushonblock.com/blogs/news/117703556-central-heating-vs-your-skin-what-to-do-indoors-to-keep-your-skin-healthy; https://brushonblock.com/blogs/news/117703812-defeating-your-winter-skin-woes
https://brushonblock.com/blogs/news/117703812-defeating-your-winter-skin-woes,Defeating Your Winter Skin Woes,6,2,https://brushonblock.com/blogs/news/117703684-fighting-pale-winter-skin-are-sunless-tanners-safe; https://brushonblock.com/blogs/news/117703940-5-crazy-tips-for-fighting-wrinkles
https://brushonblock.com/blogs/news/117703940-5-crazy-tips-for-fighting-wrinkles,5 Crazy Tips for Fighting Wrinkles,6,2,https://brushonblock.com/blogs/news/117703812-defeating-your-winter-skin-woes; https://brushonblock.com/blogs/news/117704004-7-simple-skincare-tips-for-before-and-after-the-gym
https://brushonblock.com/blogs/news/117704004-7-simple-skincare-tips-for-before-and-after-the-gym,7 Simple Skincare Tips for Before and After the Gym,6,2,https://brushonblock.com/blogs/news/117703940-5-crazy-tips-for-fighting-wrinkles; https://brushonblock.com/blogs/news/117704196-how-to-live-with-sensitive-skin
https://brushonblock.com/blogs/news/117704196-how-to-live-with-sensitive-skin,How to Live With Sensitive Skin,6,2,https://brushonblock.com/blogs/news/117704004-7-simple-skincare-tips-for-before-and-after-the-gym; https://brushonblock.com/blogs/news/117704324-5-autumn-skin-care-blunders-you-may-be-making
https://brushonblock.com/blogs/news/117704324-5-autumn-skin-care-blunders-you-may-be-making,5 Autumn Skin Care Blunders You May Be Making,6,2,https://brushonblock.com/blogs/news/117704196-how-to-live-with-sensitive-skin; https://brushonblock.com/blogs/news/117704708-the-7-best-skincare-products-30-and-under
https://brushonblock.com/blogs/news/117704708-the-7-best-skincare-products-30-and-under,The 7 Best Skincare Products $30 and Under,6,2,https://brushonblock.com/blogs/news/117704324-5-autumn-skin-care-blunders-you-may-be-making; https://brushonblock.com/blogs/news/117704836-you-are-what-you-eat
https://brushonblock.com/blogs/news/117705412-does-your-skin-make-you-look-older,Does Your Skin Make You Look Older?,6,2,https://brushonblock.com/blogs/news/117704836-you-are-what-you-eat; https://brushonblock.com/blogs/news/117705476-5-great-outdoor-activities-to-do-as-a-family
https://brushonblock.com/blogs/news/117705476-5-great-outdoor-activities-to-do-as-a-family,5 Great Outdoor Activities to Do as a Family,6,2,https://brushonblock.com/blogs/news/117705412-does-your-skin-make-you-look-older; https://brushonblock.com/blogs/news/117705604-6-simple-steps-to-shore-up-your-summer-skin-care-routine
https://brushonblock.com/blogs/news/117705604-6-simple-steps-to-shore-up-your-summer-skin-care-routine,6 Simple Steps to Shore up Your Summer Skin Care Routine,6,2,https://brushonblock.com/blogs/news/117705476-5-great-outdoor-activities-to-do-as-a-family; https://brushonblock.com/blogs/news/117705732-5-reasons-you-should-make-an-appointment-with-the-dermatologist-stat
https://brushonblock.com/blogs/news/117705732-5-reasons-you-should-make-an-appointment-with-the-dermatologist-stat,"5 Reasons You Should Make an Appointment with the Dermatologist, Stat",6,2,https://brushonblock.com/blogs/news/117705604-6-simple-steps-to-shore-up-your-summer-skin-care-routine; https://brushonblock.com/blogs/news/117705860-fantastic-foods-for-boosting-your-skins-spf
https://brushonblock.com/blogs/news/117705860-fantastic-foods-for-boosting-your-skins-spf,Fantastic Foods for Boosting Your Skin&#39;s SPF,6,2,https://brushonblock.com/blogs/news/117705732-5-reasons-you-should-make-an-appointment-with-the-dermatologist-stat; https://brushonblock.com/blogs/news/117706180-5-totally-bizarre-facials
https://brushonblock.com/blogs/news/117706180-5-totally-bizarre-facials,5 Totally Bizarre Facials,6,2,https://brushonblock.com/blogs/news/117705860-fantastic-foods-for-boosting-your-skins-spf; https://brushonblock.com/blogs/news/117706116-does-makeup-with-an-spf-provide-enough-sun-protection
https://brushonblock.com/blogs/news/117706116-does-makeup-with-an-spf-provide-enough-sun-protection,Does Makeup with an SPF Provide Enough Sun Protection?,6,2,https://brushonblock.com/blogs/news/117706180-5-totally-bizarre-facials; https://brushonblock.com/blogs/news/117706436-6-surprising-things-you-do-that-age-your-skin
https://brushonblock.com/blogs/news/skincare-101-skincare-tips-for-men,Skincare 101: Skincare Tips for Men,6,2,https://brushonblock.com/blogs/news/118499908-summer-skin-care-awareness; https://brushonblock.com/blogs/news/addressing-sunscreen-allergies
https://brushonblock.com/blogs/news/85120964-convenient-things-to-keep-in-your-car,Convenient Things to Keep in Your Car,6,2,https://brushonblock.com/blogs/news/118499972-how-to-prepare-for-a-fun-summer-beach-day; https://brushonblock.com/blogs/news/118501380-ira-rays
https://brushonblock.com/blogs/news/118499908-summer-skin-care-awareness,Summer Skin Care Awareness,6,2,https://brushonblock.com/blogs/news/118499972-how-to-prepare-for-a-fun-summer-beach-day; https://brushonblock.com/blogs/news/skincare-101-skincare-tips-for-men
https://brushonblock.com/blogs/news/117700420-5-questions-to-ask-your-dermatologist,5 Questions to Ask Your Dermatologist,6,2,https://brushonblock.com/blogs/news/118500164-winter-skin-care; https://brushonblock.com/blogs/news/118500228-convenience-is-key
https://brushonblock.com/blogs/news/addressing-sunscreen-allergies,Addressing Sunscreen Allergies,6,2,https://brushonblock.com/blogs/news/everything-you-need-to-know-about-melanoma-prevention; https://brushonblock.com/blogs/news/skincare-101-skincare-tips-for-men
https://brushonblock.com/blogs/news/cleanse-your-skin-detoxing-101,Cleanse Your Skin: Detoxing 101,6,2,https://brushonblock.com/blogs/news/50-is-the-new-40-surprising-tips-for-anti-aging; https://brushonblock.com/blogs/news/everything-you-need-to-know-about-melanoma-prevention
https://brushonblock.com/blogs/news/everything-you-need-to-know-about-melanoma-prevention,Everything You Need to Know About Melanoma Prevention,6,2,https://brushonblock.com/blogs/news/addressing-sunscreen-allergies; https://brushonblock.com/blogs/news/cleanse-your-skin-detoxing-101
https://brushonblock.com/blogs/news/50-is-the-new-40-surprising-tips-for-anti-aging,Surprising Tips for Anti-Aging,6,2,https://brushonblock.com/blogs/news/cleanse-your-skin-detoxing-101; https://brushonblock.com/blogs/news/hot-tips-for-your-skincare-this-summer
